athlete_id,games,year,season,city,sport,event,medal
7177,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
7177,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
7177,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",NA
7178,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,NA
7178,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,NA
7179,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Breaststroke,NA
7179,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Breaststroke,NA
7179,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
7179,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Breaststroke,NA
7179,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
7180,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,NA
7181,1952 Summer,1952,Summer,Helsinki,Sailing,Sailing Mixed One Person Dinghy,NA
7181,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,NA
7182,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,NA
7182,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
7183,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",NA
7184,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,NA
7185,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",NA
7185,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",NA
7186,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",NA
7186,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",NA
7187,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 800 metres,NA
7187,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,NA
7188,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,NA
