id,name,sex,height,weight,team
4891,Eduard Arbs Borras,M,174,70,Spain
4892,Jaime Arbs Serra,M,170,64,Spain
4893,Juan Arbs Perarnau,M,170,72,Spain
4894,Larry Arbuthnot,M,175,70,Canada
4895,"Elizabeth ""Betty"" Carnegy-Arbuthnott",F,0,0,Great Britain
4896,"Thomas Bone ""Tom"" Arbuthnott",M,0,0,New Zealand
4897,Anelija Arbutina (-arenac),F,178,68,Yugoslavia
4898,Nicolas Arcales,M,0,0,Philippines
4899,Angela Arcangeli,F,180,0,Italy
4900,Telemaco Arcangeli,M,169,76,Italy
4901,Stphane Arcangeloni,M,175,80,France
4902,"Ivan ""Ivo"" Aranin",M,0,0,Yugoslavia
4903,Geisa Rafaela Arcanjo,F,180,92,Brazil
4904,Bruno Arcari,M,160,60,Italy
4905,Diego Arcay Llanos,M,183,84,Venezuela
4906,Federico Arce Granados,M,177,70,Mexico
4907,Francisco Javier Arce Roln,M,0,0,Paraguay
4908,Geraldine Arce Vanegas,F,160,60,Nicaragua
4909,Fernando Arcega Aperte,M,204,96,Spain
4910,Jos ngel Arcega Aperte,M,184,83,Spain
4911,Mara Mercedes Arceo Guevara,F,171,61,Cuba
4912,Norberto J. Arceo,M,170,54,Philippines
4913,Shane William Archbold,M,182,79,New Zealand
4914,Archenoul,M,0,0,France
4915,Brenda Archer,F,166,59,Guyana
4916,Carl Archer,M,180,75,Trinidad and Tobago
4917,David Douglas Archer,M,0,0,Great Britain
4918,Derek Archer,M,193,83,Trinidad and Tobago
4919,"John ""Jack"" Archer",M,0,0,Great Britain
4920,"Alexander ""Sandy"" Archer",M,180,71,Great Britain
4921,Simon David Archer,M,189,86,Great Britain
4922,Patrice Archetto,M,178,78,Canada-3
4923,Anna Archibald,F,0,0,New Zealand
4924,"David John ""Dave"" Archibald",M,187,88,Canada
4925,"Edward Blake ""Ed"" Archibald",M,182,77,Canada
4926,"Jeffrey Victor ""Jeff"" Archibald",M,177,68,New Zealand
4927,Helen Joan Archibald (-Riddell),F,0,0,Canada
4928,Katie Louise Archibald,F,178,70,Great Britain
4929,Nancy Archibald (-Joeck),F,0,0,Canada
4930,Richard Archibald,M,183,70,Ireland
4931,"Robert Michael Archibald, Jr.",M,211,113,Great Britain
4932,Ryan Archibald,M,186,78,New Zealand
4933,"Aniekan Okon ""Koko"" Archibong",M,206,98,Nigeria
4934,Elliot Archilla,M,0,0,Puerto Rico
4935,Zlia Mensch Kempner Arci,F,170,60,Brazil
4936,Angelo Arcidiacono,M,174,74,Italy
4937,Isabella Arcila Hurtado,F,168,64,Colombia
4938,Francisco Arcilla Aller,M,171,58,Spain
4939,Giulia Arcioni,F,171,55,Italy
4940,Walter Dario Arciprete,M,185,80,Argentina
4941,Lus Martn Arcn Daz,M,179,64,Venezuela
4942,Luis Miguel Arconada Echarri,M,179,76,Spain
4943,Jos Arconada Ramos,M,192,76,Spain
4944,Jos Manuel Arcos Gil,M,177,81,Spain
4945,Waldimiro Arcos Riera,M,175,75,Cuba
4946,Eugeniusz Arct,M,0,0,Poland
4947,Sailom Ard,M,172,57,Thailand
4948,"Suzana Clara Ardeleanu (-Weissbck, -Tassi)",F,165,55,Romania
4949,Karel Ardelt,M,0,0,Czechoslovakia
4950,Alice Jean Arden (-Hodge),F,170,61,United States
4951,Daphne Arden (-Slater),F,167,60,Great Britain
4952,Marie Louis Guy Ardilouze,M,0,0,France
4953,Ingrida Ardiauskait,F,178,65,Lithuania
4954,Corrado Ardizzoni,M,0,0,Italy
4955,S. Ardoin,M,0,0,France
4956,Camillo Arduino,M,0,0,Italy
4957,Jakob Ardser,M,0,0,Switzerland
4958,Alberto Areces Fernndez,M,0,0,Spain
4959,Prateep Areerob,M,0,0,Linglom
4960,Fouad Aref,M,0,0,Syria
4961,Abeba Aregawi Gebretsadik,F,170,52,Ethiopia
4962,Antti Arell,M,188,80,Finland
4963,Fidel Arellano,M,178,0,Mexico
4964,Jos de Jess Arellano Alcocer,M,171,65,Mexico
4965,Miguel Arellano Moreno,M,187,81,Mexico
4966,Ral Arellano Gallo,M,174,65,Mexico
4967,Carlos Arena,M,0,0,Mexico
4968,"Ermenegildo ""Gildo"" Arena",M,0,0,Italy
4969,Walter Salvatore Arena,M,173,67,Italy
4970,Gudrun Eivor Elisabeth Arenander (Eklund-),F,0,0,Sweden
4971,Eric Arenas Centeno,M,0,0,Peru
4972,Sandra Lorena Arenas Campuzano,F,160,50,Colombia
4973,Vanesa Arenas Comeron,F,155,48,Spain
4974,Gregorio Aldo Arencibia Guerra,M,183,82,Cuba
4975,Humberto Daniel Arencibia Martnez,M,0,0,Cuba
4976,Yenima Arencibia Barrisontes,F,167,55,Cuba
4977,Yordanis Arencibia Verdecia,M,167,66,Cuba
4978,Dieter Arend,M,0,0,Germany
4979,Jacco Arends,M,186,72,Netherlands
4980,Adrian Arendt,M,197,92,Romania
4981,Fernande Arendt (-Jamar),F,0,0,Belgium
4982,Heinz Arendt,M,0,0,Germany
4983,Helga Arendt,F,178,66,West Germany
4984,Nancy Arendt-Kemp,F,169,55,Luxembourg
4985,Isabelle Arne (-Coquet),F,170,58,France
4986,Josette Arne (Delmas-),F,0,0,France
4987,Brbara Elisabeth Arenhart,F,182,73,Brazil
4988,Jrgen Arenholt,M,0,0,Denmark
4989,Frank Arens,M,184,102,Belgium
4990,Maarten Johannes Arens,M,184,81,Netherlands
4991,Mareks rents,M,190,85,Latvia
4992,Bjarne Arentz,M,0,0,Norway
4993,Charles Archer Arentz,M,180,0,Mosk II
4994,Xavier Areny Fite,M,0,0,Andorra
4995,Jsus Arenzana,M,0,0,France
4996,Blanca Ares Torres,F,180,0,Spain
4997,"Francesco ""Franco"" Arese",M,183,70,Italy
4998,"Johan Kellgren ""Kell"" Areskough",M,175,65,Sweden
4999,Alexandros Aresti,M,188,80,Cyprus
5000,Neofitos Aresti,M,176,64,Cyprus
5001,Luis Felipe Areta Sampriz,M,188,78,Spain
5002,Paul Arets,M,0,0,Belgium
5003,Thomas Aretz,M,199,91,West Germany
5004,Alfredo Arvalo Reyes,M,162,52,Guatemala
5005,Egidio Ral Arvalo Ros,M,168,73,Uruguay
5006,ider Orlando Arvalo Truque,M,165,60,Colombia
5007,Jimmy Arvalo Suquitana,M,173,65,Ecuador
5008,Rafael Edgardo Arvalo Gonzlez,M,180,76,El Salvador
5009,Samantha Michelle Arvalo Salinas,F,171,60,Ecuador
5010,Milan Areina,M,184,86,Yugoslavia
5011,D. Argalias,M,0,0,Greece
5012,"Lucien ""Luc"" Argand",M,185,83,Switzerland
5013,Georg Argast,M,0,0,Switzerland
5014,Luis Teodoro Argel Mancilla,M,0,0,Argentina
5015,Francisco Argem y Sola,M,0,0,Spain
5016,Ren Raymond Argentin,M,184,80,France
5017,Valentino Vittorio Argento,M,0,0,Italy
5018,Alessandro Argenton,M,172,63,Italy
5019,Ansio Argenton,M,181,0,Brazil
5020,Simona Dora Arghir (-Sandu),F,173,67,Romania
5021,Anton Arghira,M,178,82,Romania
5022,Alexeis Argilagos Segura,M,200,80,Cuba
5023,Joahnys Oscar Argilagos Prez,M,152,49,Cuba
5024,Ccile Argiolas,F,170,61,France
5025,Petar Atanasov Argirov,M,0,0,Bulgaria
5026,"Anastasios ""Tasos"" Argitis",M,180,77,Greece
